Conversation,Label,scam_probability
"Hello, this is Rajesh from BSNL support. Your telephone line service has been successfully restored following scheduled maintenance.",Normal,31.4
"Good evening Mrs. Sharma, this is calling from your son's martial arts training center. He has secured first place in the regional tournament and advanced to nationals.",Normal,35.13
"Good morning, this is Priya from Amazon Pay Later team. Based on your excellent payment record, your credit facility has been enhanced to ₹50,000.",Normal,31.97
"This is Sub-Inspector Pradeep Kumar from Kochi Economic Crimes Unit. Outstanding court penalty of ₹25,000 must be settled via UPI to prevent legal action.",Fraud,85.81
"Hello Arjun, this is Meera from JECRC College. Your summer training program completion documents will be available for pickup this Friday.",Normal,27.77
This is Rekha from St. Mary's School. Science exhibition project enrollment forms are now available at the chemistry lab.,Normal,10.11
This is Priyanka from Codecademy Support Team. Your Premium membership includes unlimited coding challenges and industry project access.,Normal,21.79
"Madam, this is Rahul from Jio financial services. Your digital wallet shows suspicious transfers to banned organizations. Submit your PAN details for verification.",Fraud,93.98
This is Mohan from telecom security department. Police have confiscated your mobile connection. Transfer ₹5000 penalty to restore service.,Fraud,94.13
"Dear valued customer, this is Vikram from Federal Bank. Your online banking access has been suspended for security purposes. Please visit nearest branch.",Normal,15.4
"Good afternoon, this is Suresh from Food Distribution Ministry. Your food ration card has been processed and is ready for collection.",Normal,11.24
This is Arun from Apple Technical Security. Unauthorized access detected on your device. Download this security application immediately for protection.,Fraud,82.54
"Hello, this is Sunita from DSP Investments. Your balanced portfolio offers moderate risk exposure suitable for conservative investors.",Normal,29.44
This is Ramesh from SEBI compliance. Your trading account displays suspicious activity patterns. Provide your login credentials for audit.,Fraud,96.71
"Hi, I'm Kavitha from Hyderabad calling. Your digital innovation expertise matches our Technology Lead position. Please prepare a strategic presentation.",Normal,27.39
"Hello, this is Deepak from Jana Small Finance. Your rural money transfer transaction has been successfully processed.",Normal,19.65
"Hi, I'm Ritika from Dream11 Fantasy. Your football team earned ₹17,000 in Premier League tournament. Winnings are credited to your account.",Normal,26.42
"Good morning, this is Lakshmi from Electoral Commission. Your voting identity card is printed and available at your local collection center.",Normal,20.14
"Hello madam, this is Rohit from ICICI Bank security. RBI has marked your account for investigation. Provide your account details for clearance.",Fraud,84.75
This is Technician Sarah from Metropolis Labs. Your cholesterol test reports are completed. Download them using our patient portal app.,Normal,45.81
"Hello Kavya, this is Rajesh from Google Educational Grant. You qualify for ₹3 lakh technology scholarship. Pay ₹7,500 processing charge via UPI immediately.",Fraud,91.9
"Hello, Rohit from Zomato Business Partners. You're approved as delivery kitchen associate. Transfer ₹5000 setup fee to zomato.business@gpay and submit food license.",Fraud,97.12
"Good evening, this is Pooja from Urban Company. Your home safety system setup includes surveillance cameras and automated locks. Your residence is now secure.",Normal,22.56
"Hello, this is Sanjana from Angel One. Your growth investment approach targets companies with consistent earnings expansion potential.",Normal,37.7
"Sir, this is Ramesh from Aadhaar Update Center. Your biometric information is damaged. Visit aadhaar-fix.co.in and submit your data for correction.",Fraud,80.28
This is Venkatesh from Central Asian Mining Corp. Invest in Uzbekistan mineral extraction and receive guaranteed 78% profits plus mining partnership.,Fraud,89.61
"Hi, this is Rajesh from UTI Mutual Funds. Your concentrated equity fund with focused holdings has outperformed diversified portfolios.",Normal,25.07
"Good morning, this is Sunil from Punjab Lottery Commission. We're notifying that unclaimed winnings worth ₹3 crore expire next month.",Normal,17.96
This is Anand from Vi customer care. Your family package includes complimentary language learning applications for all members with performance monitoring.,Normal,24.69
"Good afternoon, this is Ajay from Logitech Customer Service. Your warranty replacement mouse is ready for shipment. Please verify your delivery details.",Normal,11.56
